AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
eu-west-3a,c5d.xlarge,SUSE Linux,0.161400,2020-05-02T08:07:10+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061400,2020-05-02T08:07:10+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,1.148100,2020-05-02T08:04:13+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,1.118100,2020-05-02T08:04:13+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,1.018100,2020-05-02T08:04:13+00:00
eu-west-3a,m5d.16xlarge,Windows,3.962100,2020-05-02T08:03:37+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.745900,2020-05-02T07:58:39+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.715900,2020-05-02T07:58:39+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.615900,2020-05-02T07:58:39+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.372400,2020-05-02T06:03:09+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.342400,2020-05-02T06:03:09+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.242400,2020-05-02T06:03:09+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-05-02T06:03:03+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.233600,2020-05-02T05:03:19+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.203600,2020-05-02T05:03:19+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.103600,2020-05-02T05:03:19+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061600,2020-05-02T04:38:01+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001600,2020-05-02T04:38:01+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001600,2020-05-02T04:38:01+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.729700,2020-05-02T03:26:23+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.699700,2020-05-02T03:26:23+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.599700,2020-05-02T03:26:23+00:00
eu-west-3a,m5d.8xlarge,Windows,2.070200,2020-05-02T02:49:16+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.073300,2020-05-02T02:41:15+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.076300,2020-05-02T02:41:15+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.013300,2020-05-02T02:41:15+00:00
eu-west-3a,t3a.small,Windows,0.024800,2020-05-02T02:39:28+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.121500,2020-05-02T02:24:49+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.161500,2020-05-02T02:24:49+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061500,2020-05-02T02:24:49+00:00
eu-west-3a,t3a.small,Red Hat Enterprise Linux,0.066400,2020-05-02T02:04:08+00:00
eu-west-3a,t3a.small,SUSE Linux,0.037400,2020-05-02T02:04:08+00:00
eu-west-3a,t3a.small,Linux/UNIX,0.006400,2020-05-02T02:04:08+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,1.657100,2020-05-02T00:33:55+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,1.627100,2020-05-02T00:33:55+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,1.527100,2020-05-02T00:33:55+00:00
eu-west-3a,m5d.24xlarge,Windows,5.943100,2020-05-02T00:33:55+00:00
eu-west-3a,c5.18xlarge,Windows,4.402800,2020-05-01T23:53:25+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.236600,2020-05-01T23:53:25+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.206600,2020-05-01T23:53:25+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.106600,2020-05-01T23:53:25+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-05-01T23:53:06+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-05-01T23:53:06+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-05-01T23:53:06+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-05-01T23:53:06+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-05-01T23:14:33+00:00
eu-west-3a,c5.18xlarge,Windows,4.402800,2020-05-01T23:04:55+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.236600,2020-05-01T22:35:10+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.206600,2020-05-01T22:35:10+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.106600,2020-05-01T22:35:10+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,1.657100,2020-05-01T21:21:23+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,1.627100,2020-05-01T21:21:23+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,1.527100,2020-05-01T21:21:23+00:00
eu-west-3a,m5d.24xlarge,Windows,5.943100,2020-05-01T21:20:50+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-05-01T21:13:56+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-05-01T21:08:28+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-05-01T21:08:00+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-05-01T21:08:00+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-05-01T21:08:00+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-05-01T21:07:30+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.073200,2020-05-01T20:37:58+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.076200,2020-05-01T20:37:58+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.013200,2020-05-01T20:37:58+00:00
eu-west-3a,t3a.medium,Windows,0.031200,2020-05-01T20:37:57+00:00
eu-west-3a,t3a.medium,Windows,0.031200,2020-05-01T20:12:26+00:00
eu-west-3a,m5d.8xlarge,Windows,2.046200,2020-05-01T19:40:29+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.711800,2020-05-01T19:18:45+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.681800,2020-05-01T19:18:45+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.581800,2020-05-01T19:18:45+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.257300,2020-05-01T17:08:01+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.227300,2020-05-01T17:08:01+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.127300,2020-05-01T17:08:01+00:00
eu-west-3a,m5d.2xlarge,Windows,0.495300,2020-05-01T17:07:51+00:00
eu-west-3a,c5d.xlarge,Windows,0.244600,2020-05-01T17:07:49+00:00
eu-west-3a,t3.large,Windows,0.055900,2020-05-01T16:03:47+00:00
eu-west-3a,t3.large,Red Hat Enterprise Linux,0.090700,2020-05-01T16:02:32+00:00
eu-west-3a,t3.large,SUSE Linux,0.093700,2020-05-01T16:02:32+00:00
eu-west-3a,t3.large,Linux/UNIX,0.030700,2020-05-01T16:02:32+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.240600,2020-05-01T15:04:26+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.210600,2020-05-01T15:04:26+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.110600,2020-05-01T15:04:26+00:00
eu-west-3a,m5d.8xlarge,Windows,2.045200,2020-05-01T14:24:27+00:00
eu-west-3a,m5d.large,Windows,0.123800,2020-05-01T14:02:49+00:00
eu-west-3a,m5d.large,Red Hat Enterprise Linux,0.091800,2020-05-01T14:02:39+00:00
eu-west-3a,m5d.large,SUSE Linux,0.131800,2020-05-01T14:02:39+00:00
eu-west-3a,m5d.large,Linux/UNIX,0.031800,2020-05-01T14:02:39+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.121600,2020-05-01T13:09:55+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.161600,2020-05-01T13:09:55+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061600,2020-05-01T13:09:55+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-05-01T12:25:58+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-05-01T12:25:58+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-05-01T12:25:58+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.253100,2020-05-01T12:02:24+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.223100,2020-05-01T12:02:24+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.123100,2020-05-01T12:02:24+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061700,2020-05-01T11:54:06+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001700,2020-05-01T11:54:06+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001700,2020-05-01T11:54:06+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-05-01T09:03:52+00:00
eu-west-3a,t2.large,Windows,0.059700,2020-05-01T09:02:24+00:00
eu-west-3a,t2.large,Red Hat Enterprise Linux,0.091700,2020-05-01T09:02:24+00:00
eu-west-3a,t2.large,SUSE Linux,0.131700,2020-05-01T09:02:24+00:00
eu-west-3a,t2.large,Linux/UNIX,0.031700,2020-05-01T09:02:24+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.242500,2020-05-01T08:33:42+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.212500,2020-05-01T08:33:42+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.112500,2020-05-01T08:33:42+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,1.148100,2020-05-01T08:03:35+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,1.118100,2020-05-01T08:03:35+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,1.018100,2020-05-01T08:03:35+00:00
eu-west-3a,m5d.16xlarge,Windows,3.962100,2020-05-01T08:03:25+00:00
eu-west-3a,m5d.8xlarge,Windows,2.025900,2020-05-01T08:00:37+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.253000,2020-05-01T07:27:05+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.223000,2020-05-01T07:27:05+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.123000,2020-05-01T07:27:05+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.073200,2020-05-01T06:37:07+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.076200,2020-05-01T06:37:07+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.013200,2020-05-01T06:37:07+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.372400,2020-05-01T06:02:23+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.342400,2020-05-01T06:02:23+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.242400,2020-05-01T06:02:23+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-05-01T06:02:23+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.689900,2020-05-01T05:38:29+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.659900,2020-05-01T05:38:29+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.559900,2020-05-01T05:38:29+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.243000,2020-05-01T03:50:13+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.213000,2020-05-01T03:50:13+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.113000,2020-05-01T03:50:13+00:00
eu-west-3a,t3a.small,Windows,0.024800,2020-05-01T02:19:05+00:00
eu-west-3a,t3a.small,Red Hat Enterprise Linux,0.066400,2020-05-01T02:03:39+00:00
eu-west-3a,t3a.small,SUSE Linux,0.037400,2020-05-01T02:03:39+00:00
eu-west-3a,t3a.small,Linux/UNIX,0.006400,2020-05-01T02:03:39+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.121700,2020-05-01T01:27:56+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.161700,2020-05-01T01:27:56+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061700,2020-05-01T01:27:56+00:00
eu-west-3a,m5d.8xlarge,Windows,2.009200,2020-05-01T01:27:55+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.253100,2020-05-01T01:27:35+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.223100,2020-05-01T01:27:35+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.123100,2020-05-01T01:27:35+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.675700,2020-05-01T00:46:29+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.645700,2020-05-01T00:46:29+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.545700,2020-05-01T00:46:29+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061600,2020-05-01T00:12:41+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001600,2020-05-01T00:12:41+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001600,2020-05-01T00:12:41+00:00
eu-west-3a,c5.18xlarge,Windows,4.402800,2020-04-30T23:04:01+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.242100,2020-04-30T22:15:41+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.212100,2020-04-30T22:15:41+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.112100,2020-04-30T22:15:41+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,1.657100,2020-04-30T21:20:28+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,1.627100,2020-04-30T21:20:28+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,1.527100,2020-04-30T21:20:28+00:00
eu-west-3a,m5d.24xlarge,Windows,5.943100,2020-04-30T21:20:16+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-04-30T21:12:56+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-04-30T21:07:57+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-04-30T21:07:57+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-04-30T21:07:57+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-04-30T21:07:51+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-04-30T21:07:13+00:00
eu-west-3a,m5d.8xlarge,Windows,1.994000,2020-04-30T20:35:02+00:00
eu-west-3a,t3a.medium,Windows,0.031200,2020-04-30T20:12:13+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.073300,2020-04-30T19:45:10+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.076300,2020-04-30T19:45:10+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.013300,2020-04-30T19:45:10+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.661700,2020-04-30T19:12:19+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.631700,2020-04-30T19:12:19+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.531700,2020-04-30T19:12:19+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.253000,2020-04-30T19:11:37+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.223000,2020-04-30T19:11:37+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.123000,2020-04-30T19:11:37+00:00
eu-west-3a,t2.large,Red Hat Enterprise Linux,0.091700,2020-04-30T19:03:39+00:00
eu-west-3a,t2.large,SUSE Linux,0.131700,2020-04-30T19:03:39+00:00
eu-west-3a,t2.large,Linux/UNIX,0.031700,2020-04-30T19:03:39+00:00
eu-west-3a,t2.large,Windows,0.059700,2020-04-30T19:03:15+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.121800,2020-04-30T19:03:03+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.161800,2020-04-30T19:03:03+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061800,2020-04-30T19:03:03+00:00
eu-west-3a,m5d.2xlarge,Windows,0.495300,2020-04-30T17:07:32+00:00
eu-west-3a,c5d.xlarge,Windows,0.244600,2020-04-30T17:07:25+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.257300,2020-04-30T17:07:23+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.227300,2020-04-30T17:07:23+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.127300,2020-04-30T17:07:23+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.245200,2020-04-30T16:50:08+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.215200,2020-04-30T16:50:08+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.115200,2020-04-30T16:50:08+00:00
eu-west-3a,t3.large,Windows,0.055900,2020-04-30T16:03:34+00:00
eu-west-3a,t3.large,Red Hat Enterprise Linux,0.090700,2020-04-30T16:02:23+00:00
eu-west-3a,t3.large,SUSE Linux,0.093700,2020-04-30T16:02:23+00:00
eu-west-3a,t3.large,Linux/UNIX,0.030700,2020-04-30T16:02:23+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.073600,2020-04-30T14:35:43+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.076600,2020-04-30T14:35:43+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.013600,2020-04-30T14:35:43+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-04-30T14:16:24+00:00
eu-west-3a,m5d.large,Red Hat Enterprise Linux,0.091800,2020-04-30T14:02:23+00:00
eu-west-3a,m5d.large,SUSE Linux,0.131800,2020-04-30T14:02:23+00:00
eu-west-3a,m5d.large,Linux/UNIX,0.031800,2020-04-30T14:02:23+00:00
eu-west-3a,m5d.large,Windows,0.123800,2020-04-30T14:02:23+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.252900,2020-04-30T13:12:47+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.222900,2020-04-30T13:12:47+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.122900,2020-04-30T13:12:47+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-04-30T12:25:08+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-04-30T12:25:08+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-04-30T12:25:08+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061700,2020-04-30T12:22:33+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001700,2020-04-30T12:22:33+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001700,2020-04-30T12:22:33+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.246000,2020-04-30T10:59:14+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.216000,2020-04-30T10:59:14+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.116000,2020-04-30T10:59:14+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.372400,2020-04-30T10:02:44+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.342400,2020-04-30T10:02:44+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.242400,2020-04-30T10:02:44+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-04-30T09:02:55+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.074300,2020-04-30T08:37:36+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.077300,2020-04-30T08:37:36+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.014300,2020-04-30T08:37:36+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,1.148100,2020-04-30T08:03:11+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,1.118100,2020-04-30T08:03:11+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,1.018100,2020-04-30T08:03:11+00:00
eu-west-3a,m5d.16xlarge,Windows,3.962100,2020-04-30T08:02:26+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.252700,2020-04-30T06:40:12+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.222700,2020-04-30T06:40:12+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.122700,2020-04-30T06:40:12+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.121900,2020-04-30T05:25:07+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.161900,2020-04-30T05:25:07+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061900,2020-04-30T05:25:07+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.245800,2020-04-30T04:26:50+00:00
